DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION,GROUP_L1_NAME,GROUP_L2_NAME,GROUP_L3_NAME,GROUP_L3_CODE
01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim TB pleur-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim TB pleuris-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB pleurisy-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB pleuris-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB pleuris-oth test,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01080,"Other primary progressive tuberculosis, unspecified",Prim prog TB NEC-unspec,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done",Prim prog TB NEC-no exam,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim pr TB NEC-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim prg TB NEC-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim prog TB NEC-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim prg TB NEC-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim prg TB NEC-oth test,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01090,"Primary tuberculous infection, unspecified, unspecified",Primary TB NOS-unspec,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",Primary TB NOS-no exam,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",Primary TB NOS-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",Primary TB NOS-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Primary TB NOS-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Primary TB NOS-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Primary TB NOS-oth test,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01100,"Tuberculosis of lung, infiltrative, unspecified",TB lung infiltr-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",TB lung infiltr-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",TB lung infiltr-exm unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",TB lung infiltr-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung infiltr-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung infiltr-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung infiltr-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01110,"Tuberculosis of lung, nodular, unspecified",TB lung nodular-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",TB lung nodular-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",TB lung nodul-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",TB lung nodular-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung nodular-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung nodular-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung nodular-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01120,"Tuberculosis of lung with cavitation, unspecified",TB lung w cavity-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",TB lung w cavity-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",TB lung cavity-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",TB lung w cavit-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung w cavity-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung w cavit-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung w cavit-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01130,"Tuberculosis of bronchus, unspecified",TB of bronchus-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01131,"Tuberculosis of bronchus, bacteriological or histological examination not done",TB of bronchus-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",TB of bronchus-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",TB of bronchus-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",TB of bronchus-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bronchus-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bronchus-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01140,"Tuberculous fibrosis of lung, unspecified",TB lung fibrosis-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",TB lung fibrosis-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",TB lung fibros-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",TB lung fibros-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung fibrosis-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung fibros-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung fibros-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01150,"Tuberculous bronchiectasis, unspecified",TB bronchiectasis-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done",TB bronchiect-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",TB bronchiect-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",TB bronchiect-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB bronchiect-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB bronchiect-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB bronchiect-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01160,"Tuberculous pneumonia [any form], unspecified",TB pneumonia-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01161,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",TB pneumonia-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01162,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",TB pneumonia-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01163,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",TB pneumonia-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pneumonia-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pneumonia-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pneumonia-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01170,"Tuberculous pneumothorax, unspecified",TB pneumothorax-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01171,"Tuberculous pneumothorax, bacteriological or histological examination not done",TB pneumothorax-no exam,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",TB pneumothorx-exam unkn,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",TB pneumothorax-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pneumothorax-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pneumothorax-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pneumothorax-oth test,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
01180,"Other specified pulmonary tuberculosis, unspecified",Pulmonary TB NEC-unspec,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,011
